Profile: Function timing, sorted by time
Date:    Thu Jul 18 21:01:21 2002


Program Statistics
------------------
    Command line at 2002 Jul 18 21:00: "D:\Work\EmperorOfDragons\Game\XLauncher" 
    Total time: 63121.302 millisecond
    Time outside of functions: 5.782 millisecond
    Call depth: 38
    Total functions: 1172
    Total hits: 732624
    Function coverage: 41.3%
    Overhead Calculated 8
    Overhead Average 8

Module Statistics for xlauncher.exe
-----------------------------------
    Time in module: 63115.521 millisecond
    Percent of time in module: 100.0%
    Functions in module: 1172
    Hits in module: 732624
    Module function coverage: 41.3%

        Func          Func+Child           Hit
        Time   %         Time      %      Count  Function
---------------------------------------------------------
       0.050   0.0        0.776   0.0        2 CWnd::SetIcon(struct HICON__ *,int) (mfc42d.dll)
       0.050   0.0        0.114   0.0       13 CButtonST::OnCaptureChanged(class CWnd *) (btnst.obj)
       0.048   0.0        0.048   0.0        7 CPen::CreatePen(int,int,unsigned long) (mfc42d.dll)
       0.047   0.0        0.047   0.0        1 _make_crc_table (crc32.obj)
       0.047   0.0        0.047   0.0        4 CWnd::SendMessageA(unsigned int,unsigned int,long) (mfc42d.dll)
       0.046   0.0        0.046   0.0      570 CXLauncherDlg::_GetBaseMessageMap(void) (xlauncherdlg.obj)
       0.045   0.0        0.170   0.0       62 CDialog::OnCtlColor(class CDC *,class CWnd *,unsigned int) (mfc42d.dll)
       0.043   0.0        0.043   0.0       81 CString::CString(void) (mfc42d.dll)
       0.040   0.0        0.040   0.0        1 CDC::DrawTextA(class CString const &,struct tagRECT *,unsigned int) (mfc42d.dll)
       0.037   0.0        0.037   0.0      414 CBigFile::GetRuntimeClass(void) (bigfile.obj)
       0.037   0.0        0.037   0.0       35 CDC::FillRect(struct tagRECT const *,class CBrush *) (mfc42d.dll)
       0.035   0.0        0.035   0.0        6 CString::operator+=(char const *) (mfc42d.dll)
       0.034   0.0        0.034   0.0       62 CButtonST::CtlColor(class CDC *,unsigned int) (btnst.obj)
       0.034   0.0        0.034   0.0       68 CWnd::ClientToScreen(struct tagPOINT *) (mfc42d.dll)
       0.032   0.0        0.032   0.0       36 CDC::SetBkMode(int) (mfc42d.dll)
       0.032   0.0        0.032   0.0       13 CString::operator+=(class CString const &) (mfc42d.dll)
       0.030   0.0        0.030   0.0        6 CWnd::EndModalLoop(int) (mfc42d.dll)
       0.029   0.0        0.199   0.0       62 CBitmapDialog::OnCtlColor(class CDC *,class CWnd *,unsigned int) (bitmapdialog.obj)
       0.029   0.0        0.029   0.0        1 CWinApp::CWinApp(char const *) (mfc42d.dll)
       0.029   0.0        0.029   0.0       10 CDC::LineTo(int,int) (mfc42d.dll)
